datetime,load_demand_MW,temperature_C,humidity_%,solar_irradiation_Wm2,population,gni_per_capita_usd,power_price_usd_per_kwh,day_of_week,hour_of_day,is_holiday,season,year,month,week_of_year,lag_1_hour_load,lag_1_day_load,moving_avg_7_day
2022-01-02 00:00:00,345.00281610233884,9.42755872529082,68.08898370465639,0.0,99936.630885958,11953.274429092435,0.102039611329978,6,0,1,Winter,2022,1,52,311.96488592843764,325.3557432239136,281.22851273395713
2022-01-02 01:00:00,328.1871431746844,10.738169353760918,69.81369483560343,4.454484325544443,99915.28834356839,12416.27606909312,0.10314386503845638,6,1,1,Winter,2022,1,52,345.00281610233884,311.99046008609685,283.0346139047543
2022-01-02 02:00:00,336.26939226482847,8.21433701949658,76.00533036008413,8.605402905686434,99963.95966061555,12023.441422884664,0.1109778623993053,6,2,1,Winter,2022,1,52,328.1871431746844,335.3107254491112,285.00627236253484
2022-01-02 03:00:00,305.03523269166055,11.267720211032529,76.48623853231645,12.169877498906597,100053.59352178045,11978.035318212751,0.10487968476186767,6,3,1,Winter,2022,1,52,336.26939226482847,327.40053211732584,285.72159237428934
2022-01-02 04:00:00,299.0855924414923,9.315046794503576,85.63539560044167,14.90499505224975,100633.82522040309,11921.466730903127,0.1160452509033319,6,4,1,Winter,2022,1,52,305.03523269166055,295.03785447942545,286.1824199628136
2022-01-02 05:00:00,307.8611414093751,9.932936674754632,70.59461548761506,16.62436182445104,100536.3197746006,11974.45799590131,0.10888012534150109,6,5,1,Winter,2022,1,52,299.0855924414923,271.9142539949589,286.90504401103226
2022-01-02 06:00:00,267.397895856409,9.312910949882392,75.98442317220584,17.21080581137287,100376.45547686289,11872.720052901284,0.1112750334056599,6,6,1,Winter,2022,1,52,307.8611414093751,299.79326293055277,286.27578116733474
2022-01-02 07:00:00,296.4500227324708,14.220880543359062,70.49000514027591,16.624361824451043,101014.60499023515,12061.782346468617,0.10979773624622137,6,7,1,Winter,2022,1,52,267.397895856409,260.3567148970498,286.5937262162453
2022-01-02 08:00:00,264.1537560762512,10.489329724865318,73.32383790961917,14.904995052249754,98671.88081236159,12027.902815214471,0.10965901385994871,6,8,1,Winter,2022,1,52,296.4500227324708,233.10296977878946,285.91372712109387
2022-01-02 09:00:00,283.2405813984276,8.400902316429384,84.20697232603288,12.1698774989066,99769.97071283699,11942.940072695852,0.11760388912513922,6,9,1,Winter,2022,1,52,264.1537560762512,228.20699096445267,285.8351051880743
